days	popsize	nclones	shannon	CycleMedian	restingCells	numberOfDeaths	newCells	lenProliferating	stemNumber	time
0	10483	9976	9.19046	19.66	419	24	507	10064	10264	@ 18:39:33
0	11005	9964	9.17497	19.7	472	15	537	10115	10570	@ 18:39:33
0	11518	9942	9.16198	19.7	462	26	539	10167	10856	@ 18:39:34
0	12009	9918	9.15203	19.7	442	28	519	10218	11141	@ 18:39:34
0	12537	9904	9.14529	19.73	472	28	556	10285	11449	@ 18:39:34
0	13042	9888	9.14068	19.75	411	25	530	10381	11755	@ 18:39:34
0	13521	9871	9.13777	19.71	417	34	513	10452	12028	@ 18:39:34
0	13946	9853	9.13609	19.71	387	37	462	10495	12259	@ 18:39:34
0	14375	9838	9.13571	19.7	389	32	461	10543	12505	@ 18:39:34
0	14841	9820	9.13614	19.74	407	35	501	10610	12764	@ 18:39:34
0	15335	9802	9.13771	19.73	429	48	542	10687	13051	@ 18:39:34
0	15753	9788	9.13982	19.73	415	40	458	10704	13255	@ 18:39:34
0	16171	9776	9.14259	19.73	372	45	463	10763	13488	@ 18:39:34
0	16628	9769	9.14663	19.74	403	40	497	10832	13763	@ 18:39:35
0	17065	9762	9.14949	19.71	390	46	483	10895	14011	@ 18:39:35
0	17476	9753	9.15132	19.7	394	41	452	10930	14227	@ 18:39:35
0	17850	9747	9.15157	19.7	357	57	431	10969	14435	@ 18:39:35
0	18301	9739	9.15065	19.7	373	45	496	11065	14718	@ 18:39:35
0	18746	9734	9.14914	19.69	400	40	485	11123	14966	@ 18:39:35
0	19203	9732	9.14755	19.69	435	41	498	11161	15209	@ 18:39:35
0	19682	9727	9.1451	19.7	445	56	535	11219	15489	@ 18:39:35
0	20194	9727	9.14351	19.7	442	42	554	11309	15800	@ 18:39:35
0	20699	9726	9.14145	19.7	460	53	558	11379	16097	@ 18:39:35
0	21207	9725	9.13864	19.67	457	57	565	11460	16369	@ 18:39:35
1	21680	9722	9.13639	19.68	441	63	536	11529	16640	@ 18:39:36
1	22190	9720	9.13392	19.68	425	46	556	11639	16959	@ 18:39:36
1	22651	9718	9.13206	19.67	456	66	527	11682	17215	@ 18:39:36
1	23130	9717	9.13073	19.65	426	61	540	11765	17506	@ 18:39:36
1	23632	9716	9.12852	19.65	459	57	559	11839	17792	@ 18:39:36
1	24068	9714	9.12728	19.65	394	52	488	11905	18051	@ 18:39:36
1	24530	9714	9.12538	19.64	418	72	534	11982	18334	@ 18:39:36
1	25001	9713	9.12411	19.64	431	68	539	12070	18610	@ 18:39:36
1	25457	9710	9.12261	19.64	417	59	515	12137	18876	@ 18:39:36
1	25931	9710	9.12061	19.65	476	68	542	12167	19130	@ 18:39:36
1	26462	9708	9.11723	19.66	490	66	597	12249	19444	@ 18:39:36
1	26979	9706	9.11446	19.65	476	58	575	12318	19739	@ 18:39:37
1	27509	9706	9.11182	19.64	485	53	583	12391	20038	@ 18:39:37
1	28021	9704	9.10895	19.64	469	76	588	12479	20343	@ 18:39:37
1	28529	9701	9.10609	19.65	470	67	575	12558	20633	@ 18:39:37
1	29018	9699	9.10323	19.66	465	72	561	12624	20906	@ 18:39:37
1	29578	9698	9.10062	19.65	496	74	634	12728	21237	@ 18:39:37
1	30071	9698	9.09804	19.68	457	79	572	12810	21520	@ 18:39:37
1	30575	9695	9.09478	19.68	498	91	595	12869	21809	@ 18:39:37
1	31077	9694	9.09219	19.7	488	73	575	12930	22084	@ 18:39:37
1	31546	9692	9.08977	19.69	473	94	563	12973	22341	@ 18:39:37
1	32017	9689	9.08737	19.7	482	107	578	13028	22612	@ 18:39:38
1	32575	9689	9.08514	19.68	526	73	631	13105	22923	@ 18:39:38
1	33033	9685	9.08272	19.7	448	97	555	13169	23185	@ 18:39:38
2	33518	9684	9.08039	19.73	501	100	585	13207	23447	@ 18:39:38
